"fishID","Lifestage","roi","sr87sr86_roi_mean","sr87sr86_roi_sd"
"23-304","Adult","Adult",0.710954362507327,0.00271202136594545
"23-305","Adult","Profile",0.713987692720089,0.00118800860029613
"23-305","Adult","Core",0.713929784377947,0.000133555724269939
"23-305","Adult","Natal",0.716291390999778,1.05803673925616e-05
"23-305","Adult","Adult",0.710032629028021,0.00162148323949349
"23-306","Adult","Profile",0.713210653039643,0.000627480783780894
"23-306","Adult","Natal",0.716387741695677,0.00020971023507327
"23-306","Adult","Adult",0.709791113939784,0.00156842513298776
"23-306","Adult","Core",0.709055428606074,0.000140292683901579
"23-308","Adult","Core",0.712299868751196,9.58389025133921e-05
"23-308","Adult","Profile",0.712780097874922,0.000298034317711871
"23-308","Adult","Natal",0.713830596650156,0.000176872281848555
"23-308","Adult","Adult",0.709680808873433,0.000956868167119905
"23-309","Adult","Core",0.713600090583209,0.00029146336928159
"23-309","Adult","Profile",0.714659818056085,0.000315184606509169
"23-309","Adult","Natal",0.715565824392226,0.00014180582069465
"23-309","Adult","Adult",0.710064093971352,0.00148796306225346
"23-310","Adult","Profile",0.714199074317516,0.00148198952812194
"23-310","Adult","Natal",0.715919280080967,4.0209665169301e-05
"23-310","Adult","Core",0.715443146532583,0.000233928243104898
"23-310","Adult","Adult",0.71080240675156,0.00233061993210589
"23-311","Adult","Core",0.711378740471483,3.60674975767315e-05
"23-311","Adult","Profile",0.712106481049965,0.00111845623823818
"23-311","Adult","Natal",0.715429422592073,0.000280603285632342
"23-311","Adult","Adult",0.709501819751109,0.000752419681457417
"23-312","Adult","Profile",0.712618293739002,0.00103893868588197
"23-312","Adult","Natal",0.715888241625531,9.49567087923544e-05
"23-312","Adult","Adult",0.709553541209582,0.0010662157415835
"23-312","Adult","Core",0.709328059210354,1.04999900569049e-05
"23-315","Adult","Core",0.711670476847616,3.11168770262299e-05
"23-315","Adult","Profile",0.712591625054612,0.000651090262119554
"23-315","Adult","Natal",0.714759253676736,0.000319376150789348
"23-315","Adult","Adult",0.709435884033247,0.000728697878904987
"23-318","Adult","Core",0.713753194225451,0.000346434992964525
"23-318","Adult","Profile",0.714773371352083,0.000137123383126966
"23-318","Adult","Natal",0.715041399468787,9.08035770261427e-05
"23-318","Adult","Adult",0.710929043414254,0.00247989266454049
"23-321","Adult","Core",0.714342006626413,0.000799904234395012
"23-321","Adult","Adult",0.709585935165531,0.000688367291485009
"23-322","Adult","Core",0.712513702891195,0.000277298136359701
"23-322","Adult","Profile",0.71349210670726,0.00120929688326951
"23-322","Adult","Natal",0.716466444590343,0.000242340542794604
"23-322","Adult","Adult",0.709705687744118,0.00128129026406526
"23-323","Adult","Core",0.715144342408007,0.000868901400296916
"23-323","Adult","Profile",0.714526757941073,0.00178333833814402
"23-323","Adult","Natal",0.721072091045441,0.000249994504585287
"23-323","Adult","Adult",0.711433108879271,0.00321297568404135
"23-325","Adult","Core",0.716970140580283,7.67638427572649e-05
"23-325","Adult","Profile",0.718221547962525,0.000628173206921933
"23-325","Adult","Natal",0.719451902519436,4.25736199182362e-05
"23-325","Adult","Adult",0.709947852766535,0.00181837503244196
"23-327","Adult","Core",0.71466640435728,0.00014533228061924
"23-327","Adult","Profile",0.716884422777097,0.00149783724880471
"23-327","Adult","Natal",0.719573309224261,9.26235776939817e-05
"23-327","Adult","Adult",0.70982573466675,0.00178906646685763
"23-328","Adult","Core",0.713172794078289,9.10081395188402e-05
"23-328","Adult","Profile",0.713812703100585,0.000257767540925456
"23-328","Adult","Natal",0.714651741123639,0.00013417463851588
"23-328","Adult","Adult",0.710784434738107,0.00193789518256861
"23-329","Adult","Core",0.712850181053713,0.000129499693903192
"23-329","Adult","Profile",0.715126127057439,0.00135087556280647
"23-329","Adult","Natal",0.717903239229603,0.000149749666805005
"23-329","Adult","Adult",0.709546366214436,0.00124121092752195
"23-330","Adult","Core",0.71660666789011,0.000177618164214221
"23-330","Adult","Profile",0.717589856557262,0.000233141940906869
"23-330","Adult","Natal",0.71807218155622,9.21865075469544e-05
"23-330","Adult","Adult",0.711213135897925,0.00318029174360886
"23-332","Adult","Profile",0.714189661622593,0.00047547361378037
"23-332","Adult","Natal",0.715734445882846,8.69264556377528e-05
"23-332","Adult","Adult",0.711703818638858,0.00279087574314927
"23-332","Adult","Core",0.709856171429053,0.00076017574863794
"23-333","Adult","Core",0.71337049334871,0.000568935715393262
"23-333","Adult","Profile",0.714813734488116,0.00023337918729275
"23-333","Adult","Natal",0.71542434006678,9.03125971508296e-05
"23-333","Adult","Adult",0.710296064540143,0.00170170427975515
"23-334","Adult","Core",0.713654239424468,9.95519955452893e-05
"23-334","Adult","Profile",0.71417989563673,0.000209850051996545
"23-334","Adult","Natal",0.714876822435103,0.000135299270492908
"23-334","Adult","Adult",0.709408456123849,0.000912672925970095
"23-335","Adult","Profile",0.712544965333838,0.000506382987591189
"23-335","Adult","Natal",0.713803360141006,3.91303384977954e-05
"23-335","Adult","Adult",0.710408100263502,0.00198511971460566
"23-335","Adult","Core",0.713398786423635,0.000931139167422856
"23-336","Adult","Core",0.712273228160256,0.000209415600506562
"23-336","Adult","Profile",0.713247377488379,0.000752076456372527
"23-336","Adult","Natal",0.715216333507366,0.000244544527622127
"23-336","Adult","Adult",0.709395539831383,0.000703119070785204
"23-337","Adult","Profile",0.714885765394622,0.00166656959268096
"23-337","Adult","Natal",0.718610464453273,0.000107303714252554
"23-337","Adult","Adult",0.710899620632946,0.0026028442913884
"23-337","Adult","Core",0.714765084369178,0.000116952303481396
"23-338","Adult","Core",0.711041925237402,0.00057838853191544
"23-338","Adult","Adult",0.709209347654442,0.000107897397705867
"23-339","Adult","Core",0.711145177875951,0.000279821442696623
"23-339","Adult","Profile",0.711208579947799,0.000753536960155897
"23-339","Adult","Natal",0.713476123171677,0.000126518777399633
"23-339","Adult","Adult",0.709406074607163,0.000693267081491431
"23-340","Adult","Core",0.710535962475327,0.000436824322594148
"23-340","Adult","Profile",0.711756757574582,0.000348637630433369
"23-340","Adult","Natal",0.712597868230081,3.57412604121148e-05
"23-340","Adult","Adult",0.709500945137007,0.00082423879540505
"23-342","Adult","Profile",0.71249945195728,0.000295357561791871
"23-342","Adult","Natal",0.712611955451169,0.000115569759543892
"23-342","Adult","Adult",0.710847310379914,0.00166992629839603
"23-342","Adult","Core",0.711355649078477,4.34966352988747e-05
"23-344","Adult","Profile",0.713073084381289,0.000707063648344515
"23-344","Adult","Natal",0.71480972564787,3.95657984666641e-05
"23-344","Adult","Adult",0.711169298215759,0.00229629105400092
"23-344","Adult","Core",0.713689416938986,0.000366278400118147
"KONG_22_0025","Juvenile","Core",0.719244686691414,NA
"KONG_22_0025","Juvenile","Profile",0.719291057063445,2.24093768695317e-05
